param_solver,param_activation,param_learning_rate,param_learning_rate_init,param_tol,rank_test_score,mean_validation_MSE
adam,relu,constant,0.01,1e-08,1,1.0569549514441802e-06
adam,tanh,constant,0.0001,1e-08,2,5.110134593407269e-06
adam,tanh,constant,0.01,1e-08,3,5.827477073586277e-06
sgd,tanh,constant,0.01,1e-08,4,7.221518733794356e-06
adam,relu,constant,0.0001,1e-08,5,1.5222770403979146e-05
sgd,relu,constant,0.01,1e-08,6,3.9366586155635594e-05
sgd,tanh,constant,0.0001,1e-08,7,0.00017417868964265658
adam,tanh,constant,1e-06,1e-08,8,0.0002504180804531576
sgd,relu,constant,0.0001,1e-08,9,0.0004596388745917157
adam,relu,constant,1e-06,1e-08,10,0.0014981159190982883
sgd,relu,constant,1e-06,1e-08,11,0.028888040436822277
sgd,tanh,constant,1e-06,1e-08,12,0.05857747992680947
